Subject,Start Date,End Date,All day event,Description,Location
"Viewing Room opens",6/17/2023,6/17/2023,true,"Admission 0 yen","2-4-10 Jonanjima\, Ota-ku\, Tokyo 143-0002"
"Nobuo Michelangelo Takano ☆ Anthology opens",6/16/2023,6/16/2023,true,"Admission 0 yen","1F West\, Tokyo Midtown\, 9-7-3 Akasaka\, Minato-ku\, Tokyo 107-0052"
"Shinya Azuma 'Teleportation:Zanarkand⇆Rest Room' opens",6/11/2023,6/11/2023,true,"Admission 0 yen","MACRO Bidg.\, 5-24 Iwaoshimachi\, Takasaki-shi\, Gunma 370-0044"
"Satsuki Abe 'Bastion' opens",7/10/2023,7/10/2023,true,"Admission 0 yen","4F Hokoku Bldg.\, 3-9-2 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Nerhol 'Affect' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","1F Shin Yurakucho Bldg.\, 1-12-1 Yurakucho\, Chiyoda-ku\, Tokyo 100-0006"
"Chise Tanaka 'Echo' opens",6/22/2023,6/22/2023,true,"Admission 0 yen","4-24-7 Higashiogu\, Arakawa-ku\, Tokyo 116-0012"
"Conference of Living Creatures opens",7/15/2023,7/15/2023,true,"Admission null yen","4-28 Nusamaicho\, Kushiro-shi\, Hokkaido 085-0836"
"Provocative Relationship ＝ Moriyama Daido × Nakahira Takuma opens",7/15/2023,7/15/2023,true,"Admission Adults ¥250; Under 20s and University Students ¥150; Seniors 65 & Over\, High School Students ¥100; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","2208-1 Ishiki\, Miuragun-Hayamacho\, Kanagawa-ken 240-0111"
"Hokusai Katsushika and Shinano - Obuse\, Suwa\, Matsumoto opens",7/1/2023,7/1/2023,true,"Admission Adults ¥700; University and Seniors 75 & Over ¥500; High School Students and Under\, Under 18s\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","1-4-4 Hakoshimizu\, Nagano-shi\, Nagano 380-0801"
"Millet and Four Contemporary Artists opens",7/1/2023,7/1/2023,true,"Admission Adults ¥520; University Students ¥220; High School Students and Under\, Seniors 65 & Over and Persons with Disability Certificates + Companions free. Special Exhibition Fees may be charged separately. yen","1-4-27 Kugawa\, Kofu-shi\, Yamanashi 400-0065"
"Masako Nakahira 'On the way home' opens",7/8/2023,7/8/2023,true,"Admission 0 yen","101\, 2-15-23 Hiyoshi-cho\, Kunitachi-shi\, Tokyo 186-0002 "
"Shinichi Iwamura Exhibition opens",7/11/2023,7/11/2023,true,"Admission 0 yen","3F Togawa Bldg.\, 394 Sekisenin-cho\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0021"
"Shigemi Takenaka Exhibition opens",7/10/2023,7/10/2023,true,"Admission 0 yen","6F Daiwa Ginza Ichi Bldg.\, 1-13-4 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Kazu Takahashi Exhibition opens",7/10/2023,7/10/2023,true,"Admission 0 yen","6F Daiwa Ginza Ichi Bldg.\, 1-13-4 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Noriko Abe 'Covers: Signs and Holes' opens",7/5/2023,7/5/2023,true,"Admission 0 yen","1F Fuji City Cultural Hall Rose Theater\, 1750 Tadehara-cho\, Fuji-shi\, Shizuoka 416-0953"
"Yoshio & Keiko Toyama 'The Sound of New Orleans' opens",7/6/2023,7/6/2023,true,"Admission 0 yen","5-18-20 Chuo\, Nakano-ku\, Tokyo 164-0011"
"Satoshi Miyashita 'Toys Pottery' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","1F Daiichi Shimomura Bldg.\, 3-3-10 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Asa Go 'Wonder' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","1F Daiichi Shimomura Bldg.\, 3-3-10 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Satoshi Kikuya 'Edge Adventure with Running Dog' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","#105 Tatsunokoso A Bldg\, 2-3-10 Kishimachi\, Kita-ku\, Tokyo 114-0021"
"Nerima Art Museum Collection + Walking with Plants opens",7/2/2023,7/2/2023,true,"Admission null yen","1-36-16 Nukui\, Nerima-ku\, Tokyo 176-0021"
"Collection Highlighs + Collection Relations [Guest Artists: Tomoe Murakami + Daisuke Kuroda] opens",7/1/2023,7/1/2023,true,"Admission [Collection] Adults ¥350; University Students ¥250; High School Students and Seniors 65 & Over ¥150; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","1-1 Hijiyama Koen\, Minami-ku\, Hiroshima 732-0815"
"Wano Akari x Hyakudan Kaidanー Pandemonium of Richly Colored  opens",7/1/2023,7/1/2023,true,"Admission null yen","1-8-1 Shimo Meguro\, Meguro-ku\, Tokyo 153-0064"
"Bettina Rheims 'Chambre Close No.8' opens",7/3/2023,7/3/2023,true,"Admission null yen","5F Wind Ginza Bldg.\, 4-11-3 Ginza\, Chuo-ku\, Tokyo 104-8001"
"SouMa 'Kamiwaza!' opens",7/1/2023,7/1/2023,true,"Admission 0 yen","464-2 4F Broadway Center\, 5-52-15 Nakano\, Nakano-ku\, Tokyo 164-0001 "
"As Above\, So Below opens",7/1/2023,7/1/2023,true,"Admission 0 yen","2-4-16 Hongo\, Bunkyo-ku\, Tokyo\, 113-0033"
"Association recherche en Art Géo Construit à Sendai: Tokyo Exhibition opens",7/1/2023,7/1/2023,true,"Admission Adults ¥500\, University and High School Students ¥400\, Junior High and Elementary School Students ¥300. yen","1-25-1 Sengawa-cho\, Chofu-shi\, Tokyo 182-0002"
"Yasuo Kazuki Exhibition opens",7/1/2023,7/1/2023,true,"Admission Adults ¥500; High School\, Junior High\, and Elementary School Students ¥200; Persons with Disability Certificates + 1 Companion free. yen","226 Misumi-naka\, Nagato-shi\, Yamaguchi 759-3802"
"Kawase Hasui 'Travel and Nostalgic Landscape' opens",7/1/2023,7/1/2023,true,"Admission undefined yen","7F Matsuzakaya Nagoya Store South Bldg.\, 3-16-1 Sakae\, Naka-ku\, Nagoya-shi\, Aichi 460-8430"
"The Dream of the Manifest God\, the Expressionist of Spirituality\, the Advent of the Transcendent opens",7/2/2023,7/2/2023,true,"Admission null yen","2-14-7 Tori\, Ashikaga-shi\, Tochigi 326-0814"
"Yasue Kodama Exhibition opens",6/29/2023,6/29/2023,true,"Admission 0 yen","NADiff A/P/A/R/T 3F\, 1-18-4 Ebisu Shibuya-ku\, Tokyo 150-0013"
"Impressionism and Trick Art opens",6/27/2023,6/27/2023,true,"Admission Adults ¥400; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","3F/4F\, 4911 Ushimado\, Ushimado-cho\, Setouchi-shi\, Okayama 701-4302"
"Tokyo Documentary Photo 2023 opens",6/27/2023,6/27/2023,true,"Admission 0 yen","3F\, 1-51-3 Matsubara\, Setagaya-ku\, Tokyo 156-0043"
"Junnosuke Miyazaki Exhibition opens",6/25/2023,6/25/2023,true,"Admission 0 yen","105 Kokura D.C. Tower\, 2-9-1 Muromachi\, Kokurakita-Ku\, Kitakyushu-shi\, Fukuoka 803-0812"
"Yuya Yoshimatsu 'The Violet Brained in Ginza\, Tokyo' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","Ginza Six 6F\, 6-10-1 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Interverse opens",6/23/2023,6/23/2023,true,"Admission 0 yen","5F Birth\, 4-9 Nihombashi Yokoyama-cho\, Chuo-ku\, Tokyo 103-0003"
"Mitsuaki Iwago Exhibition opens",6/23/2023,6/23/2023,true,"Admission [Permanent Exhibition] Adults ¥420\, University and High School Students ¥210\, Junior High and Elementary School Students ¥100 <br />[Special Exhibition] Adults ¥520\, University and High School Students ¥310\, Junior High and Elementary School Students ¥200 yen","1-2-2 Oinomori\, Tendo-shi\, Yamagata 994-0013"
"Andersen in Fairy Tales opens",6/23/2023,6/23/2023,true,"Admission Adults ¥950\, High School and Junior High School Students ¥600\, Elementary School Students ¥450\, Infants free. yen","182 Nagakura\, Karuizawamachi\, Kitasaku-gun\, Nagano 389-0111"
"Amalia Ulman + Raiki Yamamoto 'Hot City People' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","6-23-2 Jingumae\, Shibuya-ku\, Tokyo 150-0001"
"Collection Exhibition - Memorial: Ikuko Takahata opens",6/22/2023,6/22/2023,true,"Admission null yen","4-5 Sumiyoshicho\, Kariya-shi\, Aichi 448-0852"
"Misa Oikawa Exhibition opens",6/20/2023,6/20/2023,true,"Admission 0 yen","101\, 1-3-3 Yanaka\, Taito-ku\, Tokyo 110-0001"
"Kenji Takagi Exhibition opens",6/20/2023,6/20/2023,true,"Admission 0 yen","5F\, 1-2-16 Yokoami\, Sumida-ku\, Tokyo 130-0015"
"Isamu Wakabayashi 'Myself' opens",6/19/2023,6/19/2023,true,"Admission 0 yen","1-15-1 Kaigan\, Minato-ku\, Tokyo 105-0022"
"Illustrations of Famous Architecture opens",6/19/2023,6/19/2023,true,"Admission 0 yen","2-18-3 Iidabashi\, Chiyoda-ku\, Tokyo 102-0072"
"Ayumi Ryuzaki Exhibition opens",6/19/2023,6/19/2023,true,"Admission 0 yen","3F Hasegawa Bldg.\, 7-11-11 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Shisei opens",6/17/2023,6/17/2023,true,"Admission 0 yen","B-103 Heim Kitano\, 1-11-23 Shinkitano\, Yodogawa-ku\, Osaka-shi\, Osaka 532-0025"
"Akiro Ono Exhibition opens",6/14/2023,6/14/2023,true,"Admission 0 yen","1FGarden Terrace\, 16-2 Muikamachi\, Hachinohe-shi\, Aomori 031-0033"
"'Why so Modest?' Film Project Talk Event opens",6/26/2023,6/26/2023,true,"Admission 0 yen","#105 Central Corporate House\, 2-12 Ageba-cho\, Shinjuku-ku\, Tokyo 162-0824"
"All Works of Yoshifumi Hasegawa opens",7/1/2023,7/1/2023,true,"Admission Adults and University Students ¥1100; High School\, Junior High and Elementary School Students ¥550 yen","1-43 Nakatamachi\, Mishima-shi\, Shizuoka 411-0838"
"Hiroko Suzuki 'Circle' opens",6/25/2023,6/25/2023,true,"Admission null yen","1F Ohrinkan\, Hitachinokuni Izumotaisha\, 2001 Fukuhara\, Kasama-shi\, Ibaraki 309-1634"
"Nerhol 'Affect' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","1-13-1 Yurakucho\, Chiyoda-ku\, Tokyo 100-8411"
"Jonathon Downing 'Checks Over Stripes' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","1-22-3 Ebisu Minami\, Shibuya-ku\, Tokyo 150-0022"
"Tatsuya Konda '[l /d; To Do]' opens",6/30/2023,6/30/2023,true,"Admission 0 yen","102\, 2-6-3 Shimoochiai\, Shinjuku-ku\, Tokyo 161-0033"
"Media Art Studies 2023 “Playing with Your Eyes” Directed by Iwai Toshio opens",7/7/2023,7/7/2023,true,"Admission 0 yen","B2F Shibuya Tobu Hotel\, 3-1 Udagawa-cho\, Shibuya-ku\, Tokyo 150-0042"
"Daniel Belton + Good Company Arts 'Ad Parnassum - Purapurawhetū' opens",6/30/2023,6/30/2023,true,"Admission 0 yen","32-2 Imazushi-cho\, Nara-shi\, Nara 630-8243"
"5 Artist -Mass- opens",6/27/2023,6/27/2023,true,"Admission 0 yen","1F Mori Bldg.\, 1-13-17 Higashi Kanda\, Chiyoda-ku\, Tokyo 101-0031"
"'Connections Between Artists' Talk opens",6/23/2023,6/23/2023,true,"Admission undefined yen","10F Yurakucho Bldg.\, 1-10-1 Yurakucho\, Chiyoda-ku\, Tokyo 100-0006"
"Katsue Kitazono Iー Design of a Poet opens",6/22/2023,6/22/2023,true,"Admission null yen","2-1723 Yarimizu\, Hachioji-shi\, Tokyo 192-0394"
"Oh Sungmin 'Null (feat.Intersum)' opens",6/27/2023,6/27/2023,true,"Admission 0 yen","1F Daini Fujikawa Bldg.\, 4-22 Yotsuya\, Shinjuku-ku\, Tokyo 163-0004"
"Switch opens",6/27/2023,6/27/2023,true,"Admission 0 yen","1-700 Ogawa-cho\, Kodaira-shi\, Tokyo 187-0032"
"Yusuke Habuchi 'Harvest 2' opens",6/27/2023,6/27/2023,true,"Admission 0 yen","374-2 Horiike-cho\, Higashiyama-ku\, Kyoto-shi\, Kyoto 605-0038"
"Tuzuru: Weaving the Path of Wonder Full Life opens",6/30/2023,6/30/2023,true,"Admission 0 yen","6F Muji Ginza\, 3-3-5 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Yugo Kohrogi + Sayuri Tsuboyama Exhibition opens",6/24/2023,6/24/2023,true,"Admission 0 yen","3F Aoyama Taiyo Bldg.\, 3-42-7 Jingumae\, Shibuya-ku\, Tokyo 150-0001"
"Mayu Masuda 'In the Morning's Embrace\, Where the Cold Wind Softly Blows\, the Room\, Bathed in Pouring Sunshine\, Felt the Spring' opens",6/19/2023,6/19/2023,true,"Admission 0 yen","2-30-2 Kita-Ueno\, Taito-ku\, Tokyo 110-0014"
"Samuli Blatter 'Strange Attractor' opens",6/16/2023,6/16/2023,true,"Admission null yen","B2F Takahashi Bldg.\, 114 Yarai-cho\, Shinjuku-ku\, Tokyo 162-0805"
"Yuki Ogawa 'Irodori' opens",6/26/2023,6/26/2023,true,"Admission 0 yen","Ginza Six 6F\, 6-10-1 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Kiyoko Taki '24541 Multiple Personality' opens",6/26/2023,6/26/2023,true,"Admission 0 yen","4F Kyobashi Point Bldg.\, 3-9-7 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Minoru Goto Exhibition opens",6/26/2023,6/26/2023,true,"Admission 0 yen","2F Wind Kyobashi Bldg.\, 3-9-9 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Kohta Tanida 'Portrait of Ice Vol. 5' opens",6/26/2023,6/26/2023,true,"Admission 0 yen","4F Hokoku Bldg.\, 3-9-2 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Masami Kimura Exhibition opens",6/26/2023,6/26/2023,true,"Admission 0 yen","4F Hokoku Bldg.\, 3-9-2 Kyobashi\, Chuo-ku\, Tokyo 104-0031"
"Morito Domae 'Time in the Forest' opens",6/24/2023,6/24/2023,true,"Admission undefined yen","1F Seizanso\, 4-6-14 Nakayamate-dori\, Chuo-ku\, Kobe-shi\, Hyogo 650−0004"
"Thinking About Painting opens",6/24/2023,6/24/2023,true,"Admission 0 yen","2-21-3 Ebisu\, Shibuya-ku\, Tokyo 150-0013　"
"Discovery of Co-creation between Science and Craft - Deciphering Sensibility of Phenomena\, Phenomena of Sensibility - opens",6/24/2023,6/24/2023,true,"Admission null yen","2-1 Kasugamachi\, Aoba-ku\, Sendai-shi\, Miyagi 980-0821"
"Ono-chan 'Shaking Fancy' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","101 KK Bldg.\, 9-17-8 Kameido\, Koto-ku\, Tokyo 136-0071"
"Iris Sakai 'Colored Lead' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","2F Shibuya PARCO\, 15-1 Utagawacho\, Shibuya-ku\, Tokyo 150-8377"
"Mini ◯ opens",6/24/2023,6/24/2023,true,"Admission 0 yen","B1F Sansho Bldg.\, 3-2-9 Nihombashi\, Chuo-ku\, Tokyo 103-0027"
"Fujiyama Museum Masterpieces opens",6/9/2023,6/9/2023,true,"Admission Adults ¥1000\, University Students ¥800\, High School Students ¥600\, Junior High School Students ¥500\, Elementary School Students and Under free. yen","5-6-1 Shinnishihara\, Fujiyoshida-shi\, Yamanashi 403-0017"
"Éi Kaneko ''Witness' Works From the Series 'Sightings'' opens",6/18/2023,6/18/2023,true,"Admission 0 yen","3-55-6 Yoyogi\, Shibuya-ku\, Tokyo 151-0053"
"Sayuri Nishikubo 'Incomplete' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","203\, 6-3-14 Minami Aoyama\, Minato-ku\, Tokyo 107-0062"
"Kumiko Kasashima + Tomohiro Nagahata 'Watermelon Juice' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","3-31-14 Higashi Mukojima\, Sumida-ku\, Tokyo 131-0032"
"Kyohei Sakaguchi Exhibition opens",6/24/2023,6/24/2023,true,"Admission 0 yen","115-1 Uroko-cho\, Kanazawa-shi\, Ishikawa 920-0971"
"Isao Chinzei Exhibition opens",7/3/2023,7/3/2023,true,"Admission 0 yen","6F Daiwa Ginza Ichi Bldg.\, 1-13-4 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Shogo Ishihara Exhibition opens",7/3/2023,7/3/2023,true,"Admission 0 yen","6F Daiwa Ginza Ichi Bldg.\, 1-13-4 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Michiyo Miwa Exhibition opens",6/15/2023,6/15/2023,true,"Admission 0 yen","1-34-2 Soshigaya\, Setagaya-ku\, Tokyo 157-0072"
"History and Beliefs of Kamo opens",6/6/2023,6/6/2023,true,"Admission Free. Special Exhibition Fees may be charged separately. yen","Koyamakamifusacho\, Kita-ku\, Kyoto-shi\, Kyoto 603-8143"
"Be with Watar / Folk Art and Artisans opens",6/1/2023,6/1/2023,true,"Admission Adults ¥500\, Junior High School Students and Under free. yen","241 Honmachi\, Himeji-shi\, Hyogo 670-0012"
"Shosuke Osawa Exhibition opens",6/17/2023,6/17/2023,true,"Admission Adults ¥700; University\, High School and Junior High School Students ¥500\, Elementary School Students and Under free. yen","102-8 Gokashoura\, Minamiise-cho\, Watarai-gun\, Mie 516-0101"
"Kouhei Takata 'Ridge. I May Have Said This Before. Jam\, Jam\, Jam.' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","B1F\, 1-8-15 Saien\, Morioka-shi\, Iwate 020-0024"
"Yui Furuyama 'Numb and Pop' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","2F Kishida Bldg.\, 7-18-8 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Koga Miura 'Slow Work' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","6-10-1 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Makers Space 'Sky Pixelated' opens",6/23/2023,6/23/2023,true,"Admission undefined yen","1-49-4 Tomigaya\, Shibuya-ku\, Tokyo 151-0063"
"Ryoko Furukawa 'There are Only Two Computer Books on Mars' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","2F Room C Koura Daiichi Bldg.\, 1-1-6\, Nihombashi Kayabacho\, Chuo-ku\, Tokyo"
"Maywa Denki Prototypes opens",6/16/2023,6/16/2023,true,"Admission 0 yen","3-18-17 Kiba\, Koto-ku\, Tokyo 135-0042"
"Enrico Isamu Oyama + Shiryu Morita 'Repetitive Sphere' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","B1F Ichibankan Bldg.\, 5-3-12 Ginza\, Chuo-ku\, Tokyo 104-0061"
"Assemble! opens",6/1/2023,6/1/2023,true,"Admission null yen","2F Shibuya Parco\, 15-1 Udagawacho\, Shibuya-ku\, Tokyo 150-0042"
"Tomiyuki Kaneko 'Dream of the Cosmic Serpent' opens",5/21/2023,5/21/2023,true,"Admission undefined yen","2001 Fukuhara\, Kasama-shi\, Ibaraki 309-1634"
"Mari Matsumoto 'Forever Young' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","1F Shin Kokusai Bldg.\, 3-4-1 Marunouchi\, Chiyoda-ku\, Tokyo 100-0005"
"Damian Stamer 'Collaborations 2' opens",6/16/2023,6/16/2023,true,"Admission 0 yen","1F Rose Bldg.\, 1-15-2 Higashi Kanda\, Chiyoda-ku\, Tokyo 101-0031"
"Traveling Zine Shop 'Little Shop of Zines & Coffee at Enoshima' opens",6/11/2023,6/11/2023,true,"Admission 0 yen","1-4-11 Enoshima\, Fujisawa-shi\, Kanagawa 251-0036"
"Hidari 'Lapse' opens",6/9/2023,6/9/2023,true,"Admission 0 yen","1F Twin Planet South Bldg.\, 5-46-1 Jingumae\, Shibuya-ku\, Tokyo 150-0001"
"TOP Collection: A Genealogy of 'Peep Media' and the Gaze opens",7/19/2023,7/19/2023,true,"Admission null yen","Yebisu Garden Place\, 1-13-3 Mita\, Meguro-ku\, 153-0062 Tokyo"
"The Secret of the Lake - The River Became a Lake opens",7/15/2023,7/15/2023,true,"Admission Adults ￥200; University and High School Students\, Seniors 65 & Over ￥100; Junior High School Students and Under\, Persons with Disability Certificates free. Special Exhibition Fees may be charged separately. yen","75-1 Funyu\, Ichihara-shi\, Chiba 290-0554"
"Mami Tamura 'Something Like' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","3F Kobayashi Bldg.\, 1-6-2 Misuji\, Taito-ku\, Tokyo 111-0055"
"Words and Fashion Related to Horses opens",6/17/2023,6/17/2023,true,"Admission Adult ¥100; High School\, Junior High and Elementary School Students ¥30; Persons with Disability Certificates free. Special Exhibition Fees may be charged separately. yen","1-3 Negishidai\, Naka-ku\, Yokohama-shi\, Kanagawa 231-0853"
"Horses Decorating Swords - from the Nakagawa Collection opens",6/17/2023,6/17/2023,true,"Admission Adult ¥100; High School\, Junior High and Elementary School Students ¥30; Persons with Disability Certificates free. Special Exhibition Fees may be charged separately. yen","1-3 Negishidai\, Naka-ku\, Yokohama-shi\, Kanagawa 231-0853"
"Yosuke Kobashi 'The Birds' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","17-5 Sarugakucho\, Shibuya-ku\, Tokyo 150-0033"
"Yuko Matsumoto 'Continuum' opens",6/17/2023,6/17/2023,true,"Admission 0 yen","3F Kobayashi Bldg.\, 1-6-2 Misuji\, Taito-ku\, Tokyo 111-0055"
